2018-19,,,,,,,,2017-18,,,,,,,,2016-17,,,,,,
2-hourly mean daily temperature,,,,,,,,2-hourly mean daily temperature,,,,,,,,2-hourly mean daily temperature,,,,,,
,Upper,,,Lower,,,,,Upper,,,Lower,,,,,Upper,,,Lower,,
Date,Min,Mean,Max,Min,Mean,Max,,Date,Min,Mean,Max,Min,Mean,Max,,Date,Min,Mean,Max,Min,Mean,Max
1/11/2018,15.699,16.602,17.699,14.53,16.908,17.948,,1/11/2017,15.086,16.284,17.112,15.301,16.333,17.756,,1/11/2016,13.939,14.565,15.588,10.986,14.057,15.497
2/11/2018,14.979,16.333,17.586,12.235,16.167,18.258,,2/11/2017,14.945,15.99,16.754,14.245,15.674,16.449,,2/11/2016,13.772,14.145,14.911,12.043,13.736,14.454
3/11/2018,13.233,14.282,15.419,11.744,13.729,15.327,,3/11/2017,13.44,15.046,16.367,11.126,14.475,16.26,,3/11/2016,13.727,14.05,14.348,11.955,14.228,15.448
4/11/2018,13.047,13.782,14.465,12.365,13.42,14.077,,4/11/2017,13.527,14.445,15.477,11.658,13.908,14.998,,4/11/2016,13.969,14.688,15.939,11.826,14.496,17.234
5/11/2018,14.504,15.117,15.961,14.577,15.703,17.829,,5/11/2017,14.433,15.207,16.643,12.515,14.956,16.951,,5/11/2016,12.958,13.57,14.31,12.007,13.321,14.556
6/11/2018,13.48,14.467,15.334,12.658,14.657,16.319,,6/11/2017,14.454,15.217,16.104,13.237,15.07,16.721,,6/11/2016,13.464,13.885,14.474,12.411,13.411,14.393
7/11/2018,13.18,14.22,15.386,11.234,13.901,15.8,,7/11/2017,14.295,14.998,15.854,13.422,15.749,17.694,,7/11/2016,12.762,13.262,13.815,11.427,13.299,14.357
8/11/2018,13.49,14.129,15.002,12.732,14.085,15.181,,8/11/2017,15.407,16.197,16.925,13.607,16.428,18.668,,8/11/2016,13.204,13.714,14.074,11.717,13.671,15.428
9/11/2018,14.107,14.532,15.686,13.632,14.593,15.475,,9/11/2017,16.073,16.989,17.624,15.474,17.166,19.79,,9/11/2016,13.829,15.022,15.986,14.084,15.389,17.391
10/11/2018,14.824,15.356,16.025,13.932,15.61,16.982,,10/11/2017,17.112,18.322,19.589,17.254,18.726,21.65,,10/11/2016,14.803,15.458,16.233,14.67,15.636,17.024
11/11/2018,16.061,16.847,18.331,15.044,16.579,18.473,,11/11/2017,18.033,18.951,19.565,17.832,19.094,21.658,,11/11/2016,15.825,16.198,16.867,15.436,16.322,18.207
12/11/2018,16.671,17.078,17.43,16.136,17.254,18.555,,12/11/2017,18.159,19.431,20.102,18.472,19.703,21.41,,12/11/2016,15.245,15.97,17.046,14.72,15.688,17.473
13/11/2018,17.075,17.502,17.948,17.16,17.976,19.331,,13/11/2017,19.422,20.246,21.189,18.724,20.309,22.165,,13/11/2016,13.94,14.491,15.092,12.97,14.144,15.053
14/11/2018,16.436,16.826,17.419,15.49,16.572,17.816,,14/11/2017,18.756,20.13,22.211,18.303,20.38,23.343,,14/11/2016,13.784,14.541,15.345,12.688,14.725,15.621
15/11/2018,15.937,16.644,17.157,15.624,16.397,17.176,,15/11/2017,19.074,19.999,21.582,19.01,20.336,22.185,,15/11/2016,14.701,15.296,16.485,14.508,15.81,18.762
16/11/2018,15.618,16.247,17.017,14.8,15.879,16.912,,16/11/2017,17.721,18.407,19.092,16.629,17.971,19.405,,16/11/2016,15.222,16.386,17.855,14.287,16.172,18.712
17/11/2018,16.041,16.757,17.724,16.227,16.914,18.299,,17/11/2017,19.636,20.399,22.322,18.425,20.463,23.304,,17/11/2016,16.598,17.539,19.272,14.042,17.786,20.22
18/11/2018,17.335,18.228,20.218,17.045,18.151,18.934,,18/11/2017,20.171,21.084,22.861,19.467,21.585,24.631,,18/11/2016,16.325,17.252,18.414,13.604,17.237,19.969
19/11/2018,18.201,19.032,20.424,17.497,18.844,21.337,,19/11/2017,21.035,22.146,23.624,20.175,22.456,25.278,,19/11/2016,17.041,17.72,18.881,15.447,18.036,19.977
20/11/2018,18.188,18.637,19.412,17.547,17.826,18.131,,20/11/2017,21.582,22.84,24.072,20.419,22.842,25.289,,20/11/2016,17.858,18.733,19.947,17.287,19.079,20.8
21/11/2018,17.246,17.807,19.069,16.646,17.566,18.679,,21/11/2017,22.013,23.284,24.399,19.979,22.906,24.831,,21/11/2016,18.252,18.663,19.177,16.208,18.655,20.066
22/11/2018,15.928,16.471,17.265,15.388,16.186,16.747,,22/11/2017,22.303,23.777,25.411,20.488,22.907,24.905,,22/11/2016,17.487,18.311,18.974,16.869,18.373,19.226
23/11/2018,15.124,15.854,16.632,15.004,15.767,16.344,,23/11/2017,22.606,23.336,24.124,20.534,22.952,24.861,,23/11/2016,15.738,16.782,17.659,14.188,15.784,17.412
24/11/2018,15.573,15.952,16.565,15.424,15.88,16.484,,24/11/2017,22.814,23.341,24.478,21.432,22.882,24.047,,24/11/2016,16.445,17.255,18.573,14.742,17,18.687
25/11/2018,15.351,15.602,15.945,14.955,15.35,15.728,,25/11/2017,22.684,23.159,24.094,22.061,22.771,23.704,,25/11/2016,15.652,16.42,17.177,12.695,15.425,16.677
26/11/2018,16.119,16.513,16.928,16.263,16.998,17.931,,26/11/2017,21.477,22.131,22.882,20.541,21.602,22.627,,26/11/2016,15.62,15.827,16.111,13,15.562,16.755
27/11/2018,16.553,17.344,17.809,16.703,18.012,19.257,,27/11/2017,21.726,22.196,23.081,20.554,21.916,23.557,,27/11/2016,16.966,17.424,18.531,16.498,18.718,21.369
28/11/2018,18.66,19.306,20.084,18.123,19.532,21.291,,28/11/2017,20.681,21.89,23.685,20.562,21.761,23.036,,28/11/2016,17.511,18.102,19.262,16.812,18.627,20.428
29/11/2018,19.674,20.164,20.79,19.197,20.359,22.914,,29/11/2017,22.146,22.901,23.874,21.063,22.794,24.334,,29/11/2016,18.181,19.056,20.678,16.834,19.067,21.28
30/11/2018,18.906,19.827,20.401,18.267,19.409,20.358,,30/11/2017,22.817,23.118,23.731,21.493,23.355,24.585,,30/11/2016,18.88,19.451,20.536,18.149,19.334,20.567
1/12/2018,18.194,19.173,20.995,17.397,19.483,21.086,,1/12/2017,20.332,21.507,22.996,18.435,21.361,23.034,,1/12/2016,18.907,19.64,20.465,18.539,19.556,20.587
2/12/2018,16.837,18.059,19.27,15.129,17.289,19.005,,2/12/2017,17.546,18.539,20.115,16.458,17.944,20.94,,2/12/2016,18.293,19.234,20.45,16.327,19.107,20.807
3/12/2018,15.692,16.934,17.79,14.187,16.102,17.666,,3/12/2017,13.675,14.76,16.207,12.101,14.859,18.081,,3/12/2016,18.498,19.203,20.021,14.048,18.537,19.907
4/12/2018,16.231,17.05,19.27,15.91,17.19,20.695,,4/12/2017,14.941,15.584,16.071,15.344,16.13,17.113,,4/12/2016,18.457,19.414,20.132,17.25,19.293,20.953
5/12/2018,17.746,18.722,21.063,17.38,19.701,22.924,,5/12/2017,16.614,17.352,18.517,15.849,17.391,19.543,,5/12/2016,19.016,19.548,20.212,18.269,19.798,22.606
6/12/2018,18.764,19.847,22.611,18.895,20.666,24.262,,6/12/2017,17.302,17.683,18.378,16.545,17.451,18.487,,6/12/2016,18.518,19.244,19.994,15.778,19.179,20.652
7/12/2018,19.731,20.31,21.594,19.264,20.556,22.669,,7/12/2017,16.528,17.652,18.653,16.277,17.404,18.695,,7/12/2016,18.478,19.237,19.915,16.889,19.288,21.061
8/12/2018,19.921,20.607,21.789,19.393,20.299,22.26,,8/12/2017,16.664,17.417,18.48,14.736,17.218,19.309,,8/12/2016,17.207,18.308,19.324,13.908,17.594,19.091
9/12/2018,19.899,20.412,21.421,19.147,20.233,21.174,,9/12/2017,16.941,17.61,18.138,14.499,17.171,19.514,,9/12/2016,16.352,17.08,18.078,13.994,16.534,17.922
10/12/2018,20.283,20.96,22.109,18.701,20.54,22.211,,10/12/2017,17.254,17.763,18.216,16.353,18.004,19.969,,10/12/2016,15.835,16.597,17.335,13.982,16.063,16.922
11/12/2018,20.957,21.701,23.261,18.881,21.248,23.165,,11/12/2017,17.807,18.844,20.488,17.384,18.521,20.424,,11/12/2016,16.593,17.661,18.903,16.607,18.422,20.83
12/12/2018,21.452,22.316,23.461,19.884,21.721,24.199,,12/12/2017,19.081,19.791,20.563,18.917,20.149,21.725,,12/12/2016,17.523,18.716,21.343,17.295,19.179,22.417
13/12/2018,20.942,22.151,22.871,20.773,21.614,23.233,,13/12/2017,19.539,20.065,21.153,19.611,20.542,21.365,,13/12/2016,17.281,18.366,19.947,16.041,18.67,22.15
14/12/2018,20.561,21.749,22.605,20.286,21.23,22.895,,14/12/2017,18.093,20.097,21.844,17.952,20.246,23.453,,14/12/2016,15.897,16.906,17.808,14.054,16.468,18.669
15/12/2018,20.748,21.125,21.492,19.871,20.713,21.919,,15/12/2017,19.167,20.202,21.672,18.835,19.872,21.895,,15/12/2016,16.72,17.7,19.251,14.82,17.836,19.718
16/12/2018,20.909,21.752,22.881,20.879,21.953,23.481,,16/12/2017,18.071,19.676,20.815,18.365,19.551,20.779,,16/12/2016,18.008,19.204,20.459,17.076,19.548,21.704
